epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0017,2.98146,3.56865,2.35868,0.00515,0.33333,0.00362,0.00101,3.04248,3.89249,2.49301,8e-05,8e-05,8e-05
2,67.6238,2.80579,3.4624,2.18836,0.00727,0.47059,0.00714,0.00239,2.82332,3.71946,2.12794,0.000179109,0.000179109,0.000179109
3,100.007,2.70534,3.3433,2.05864,0.00697,0.45098,0.01996,0.00663,2.85731,3.70817,2.21562,0.000277228,0.000277228,0.000277228
4,132.033,2.67219,3.26052,1.98241,0.01061,0.68627,0.0449,0.01499,2.78064,3.73629,2.11604,0.000374357,0.000374357,0.000374357
5,164.645,2.62504,3.09214,2.00901,0.01091,0.70588,0.02883,0.00747,2.72381,3.67803,2.14952,0.000470496,0.000470496,0.000470496
6,196.81,2.52288,2.93056,2.01221,0.01,0.64706,0.02759,0.00875,2.7153,3.66403,2.1894,0.000565645,0.000565645,0.000565645
7,227.31,2.49875,2.84854,1.99485,0.0881,0.11765,0.04593,0.01216,2.7746,3.55382,2.32869,0.000659804,0.000659804,0.000659804
8,259.189,2.63389,2.81987,2.01082,0.05073,0.16873,0.04553,0.01447,2.7205,3.54604,2.293,0.000752973,0.000752973,0.000752973
9,291.128,2.49566,2.61321,1.95907,0.06572,0.15686,0.04316,0.01008,2.61123,3.49969,2.15534,0.000845152,0.000845152,0.000845152
10,323.966,2.52536,2.59674,1.98089,0.16733,0.07843,0.04079,0.01261,2.75989,3.4076,2.28692,0.000936341,0.000936341,0.000936341
11,356.188,2.59261,2.58355,2.02696,0.15337,0.09804,0.08442,0.01664,2.8234,3.3246,2.35426,0.00102654,0.00102654,0.00102654
12,387.532,2.5179,2.5135,1.94503,0.12113,0.11765,0.06571,0.01686,2.71354,3.35541,2.32816,0.00111575,0.00111575,0.00111575
13,419.437,2.59616,2.60213,2.03651,0.10428,0.07843,0.07148,0.01582,2.76139,3.28925,2.38232,0.00120397,0.00120397,0.00120397
14,450.268,2.46279,2.51349,2.02303,0.10428,0.07843,0.07148,0.01582,2.76139,3.28925,2.38232,0.0012912,0.0012912,0.0012912
15,482.296,2.51333,2.54002,1.97971,0.04192,0.13725,0.03228,0.01003,2.762,3.21443,2.44488,0.00137744,0.00137744,0.00137744
16,514.073,2.53304,2.47313,1.9146,0.01091,0.70588,0.02861,0.00727,3.08407,3.27102,2.7023,0.00146269,0.00146269,0.00146269
17,545.549,2.55031,2.49844,1.90391,0.15907,0.09804,0.06678,0.01397,3.05896,3.04981,2.94355,0.00154694,0.00154694,0.00154694
18,578.406,2.59484,2.54572,2.04726,0.15907,0.09804,0.06678,0.01397,3.05896,3.04981,2.94355,0.00163021,0.00163021,0.00163021
19,610.567,2.53625,2.72904,2.02295,0.05143,0.05882,0.03534,0.00933,2.89421,3.22179,2.37256,0.00171249,0.00171249,0.00171249
20,642.718,2.36034,2.56256,1.96096,0.15147,0.07843,0.05589,0.01569,3.00062,3.19831,2.59541,0.00179378,0.00179378,0.00179378
21,674.38,2.48766,2.79374,2.04847,0.15147,0.07843,0.05589,0.01569,3.00062,3.19831,2.59541,0.001802,0.001802,0.001802
22,706.524,2.49617,2.62751,2.02009,0.08689,0.17647,0.05868,0.01322,3.01392,3.14737,2.84875,0.0017921,0.0017921,0.0017921
